[rosmaster.master][INFO] 2019-04-02 21:49:33,973: publisherUpdate[/rosout] -> http://9fe54ba3caf9:34401/
[rosmaster.master][INFO] 2019-04-02 21:49:33,985: +PUB [/camera/rgb/image_raw] /play_1554241773955301575 http://9fe54ba3caf9:33217/
[rosmaster.master][INFO] 2019-04-02 21:49:33,986: +PUB [/camera/rgb/image_mono] /play_1554241773955301575 http://9fe54ba3caf9:33217/
[rosmaster.master][INFO] 2019-04-02 21:49:33,987: +PUB [/camera/rgb/image_color] /play_1554241773955301575 http://9fe54ba3caf9:33217/
[rosmaster.master][INFO] 2019-04-02 21:49:33,988: +PUB [/camera/depth/image_raw] /play_1554241773955301575 http://9fe54ba3caf9:33217/
[rosmaster.master][INFO] 2019-04-02 21:49:33,989: +PUB [/camera/depth/image_rect_raw] /play_1554241773955301575 http://9fe54ba3caf9:33217/
[rosmaster.master][INFO] 2019-04-02 21:49:33,989: +PUB [/camera/depth/disparity] /play_1554241773955301575 http://9fe54ba3caf9:33217/
[rosmaster.master][INFO] 2019-04-02 21:49:33,990: +PUB [/camera/depth/image_rect] /play_1554241773955301575 http://9fe54ba3caf9:33217/
[rosmaster.master][INFO] 2019-04-02 21:49:33,991: +PUB [/camera/depth/points] /play_1554241773955301575 http://9fe54ba3caf9:33217/
[rosmaster.master][INFO] 2019-04-02 21:49:34,074: publisherUpdate[/camera/depth/image_raw] -> http://9fe54ba3caf9:33063/
[rosmaster.master][INFO] 2019-04-02 21:49:47,791: -PUB [/rosout] /play_1554241773955301575 http://9fe54ba3caf9:33217/
[rosmaster.master][INFO] 2019-04-02 21:49:47,792: -PUB [/clock] /play_1554241773955301575 http://9fe54ba3caf9:33217/
[rosmaster.master][INFO] 2019-04-02 21:49:47,793: -PUB [/camera/rgb/image_raw] /play_1554241773955301575 http://9fe54ba3caf9:33217/
[rosmaster.master][INFO] 2019-04-02 21:49:47,793: -PUB [/camera/rgb/image_mono] /play_1554241773955301575 http://9fe54ba3caf9:33217/
[rosmaster.master][INFO] 2019-04-02 21:49:47,794: publisherUpdate[/rosout] -> http://9fe54ba3caf9:34401/
[rosmaster.master][INFO] 2019-04-02 21:49:47,794: -PUB [/camera/rgb/image_color] /play_1554241773955301575 http://9fe54ba3caf9:33217/
[rosmaster.master][INFO] 2019-04-02 21:49:47,795: -PUB [/camera/depth/image_raw] /play_1554241773955301575 http://9fe54ba3caf9:33217/
[rosmaster.master][INFO] 2019-04-02 21:49:47,796: -PUB [/camera/depth/image_rect_raw] /play_1554241773955301575 http://9fe54ba3caf9:33217/
[rosmaster.master][INFO] 2019-04-02 21:49:47,796: -PUB [/camera/depth/disparity] /play_1554241773955301575 http://9fe54ba3caf9:33217/
[rosmaster.master][INFO] 2019-04-02 21:49:47,796: publisherUpdate[/camera/depth/image_raw] -> http://9fe54ba3caf9:33063/
[rosmaster.master][INFO] 2019-04-02 21:49:47,797: -PUB [/camera/depth/image_rect] /play_1554241773955301575 http://9fe54ba3caf9:33217/
